"label"	"H1hESC.expr"	"HepG2.expr"	"K562.expr"	"MCF7.expr"	"SKNSH_RA.expr"	"A549.expr"	"GM12878.expr"	"IMR90.expr"	"SKNSH.expr"	"AG04450.expr"	"BJ.expr"	"HUVEC.expr"	"HeLaS3.expr"	"NHEK.expr"	"NHLF.expr"	"H1hESC.peakCount"	"HepG2.peakCount"	"K562.peakCount"	"MCF7.peakCount"	"SKNSH_RA.peakCount"	"A549.peakCount"	"GM12878.peakCount"	"IMR90.peakCount"	"SKNSH.peakCount"	"AG04450.peakCount"	"BJ.peakCount"	"HUVEC.peakCount"	"HeLaS3.peakCount"	"NHEK.peakCount"	"NHLF.peakCount"	"H1hESC.foldChange"	"HepG2.foldChange"	"K562.foldChange"	"MCF7.foldChange"	"SKNSH_RA.foldChange"	"A549.foldChange"	"GM12878.foldChange"	"IMR90.foldChange"	"SKNSH.foldChange"	"AG04450.foldChange"	"BJ.foldChange"	"HUVEC.foldChange"	"HeLaS3.foldChange"	"NHEK.foldChange"	"NHLF.foldChange"	"peakCountSumRaw"	"peakCountSum"	"exprCount"	"PSIave"	"FoldChangeave"	"FoldChangeaveGroup"	"FoldChangeVar"	"PSIVar"	"peakFracExpr"	"peakFracExprGroup"	"pearsonCorr"	"pearsonCorrPvalue"	"wilcoxCorrPvalue"	"alpha"	"M"	"j"
"197474"	"chr6:34495109-34495265_+"	1	NA	NA	1	NA	NA	0.48792	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0	0	0	1	0	1	2	2	1	0	1	1	0	0	78.96464	0	0	0	60.91296	0	25.19704	44.5032800000023	65.97881	45.4841	0	73.57703	26.20244	10	1	3	0.829306666666667	20.30432	"(20,25]"	1236.7962319872	0.0874086421333333	0.333333333333333	"(0.267,0.333]"	-1	0	NA	0.05	7251	63
"206877"	"chr7:20259206-20259379_+"	1	NA	1	NA	NA	NA	0.98347	NA	NA	NA	NA	NA	NA	1	NA	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.19323	0	0	0	0	0	0	0	0	1	1	4	0.9958675	1.5483075	"(0,5]"	9.589024458225	6.83102250000004e-05	0.25	"(0.2,0.267]"	-1	0	NA	0.05	7251	64
"209585"	"chr7:70236535-70236630_+"	0.90361	NA	NA	NA	1	NA	1	1	1	NA	NA	NA	NA	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.2835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	7	0.98623	1.18335714285714	"(0,5]"	9.80233889285714	0.0013272903	0.142857142857143	"(0.133,0.2]"	-1	0	NA	0.05	7251	65
"211522"	"chr7:92776196-92776459_-"	NA	NA	NA	NA	1	NA	0.88618	1	1	1	1	NA	NA	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	19.66178	0	0	0	0	7.25944	0	0	0	2	1	8	0.9857725	2.4577225	"(0,5]"	48.32319909605	0.00161937405	0.125	"(0.0667,0.133]"	-1	0	NA	0.05	7251	66
"211523"	"chr7:92776401-92776459_-"	NA	NA	NA	NA	1	NA	0.8427	NA	NA	1	NA	NA	NA	NA	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	19.66178	0	0	0	0	7.25944	0	0	0	2	1	4	0.960675	4.915445	"(0,5]"	96.6463981921	0.0061858225	0.25	"(0.2,0.267]"	-1	0	NA	0.05	7251	67
"212601"	"chr7:99971667-99972056_+"	1	NA	NA	NA	NA	1	0.91262	NA	1	NA	NA	NA	1	NA	NA	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.39735	0	0	0	0	0	0	0	0	1	1	5	0.982524	1.07947	"(0,5]"	5.8262774045	0.00152705288	0.2	"(0.133,0.2]"	-1	0	NA	0.05	7251	68
"222662"	"chr9:130509426-130509550_-"	1	NA	NA	NA	1	NA	1	NA	NA	NA	NA	0.99508	NA	NA	NA	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	7.68315	7.39988	0	0	0	0	0	0	0	0	7.89949	0	0	0	3	1	4	0.99877	1.9748725	"(0,5]"	15.600485565025	6.05160000000009e-06	0.25	"(0.2,0.267]"	-1	0	NA	0.05	7251	69
"225934"	"chr9:140728801-140728976_+"	0.98691	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.51986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	15	0.999127333333333	0.367990666666667	"(0,5]"	2.03125696130667	1.14232066666667e-05	0.0666666666666667	NA	-1	0	NA	0.05	7251	70
"232767"	"chrX:153005546-153005691_+"	1	1	0.63158	1	1	1	NA	1	1	1	1	1	1	NA	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.05445	0	0	0	0	0	0	0	0	0	0	0	0	1	1	13	0.97166	0.465726923076923	"(0,5]"	2.81972036942308	0.0104410228	0.0769230769230769	"(0.0667,0.133]"	-1	0	NA	0.05	7251	71
"232768"	"chrX:153005546-153005691_+"	1	1	0.63158	1	1	1	NA	1	1	1	1	1	1	NA	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.05445	0	0	0	0	0	0	0	0	0	0	0	0	1	1	13	0.97166	0.465726923076923	"(0,5]"	2.81972036942308	0.0104410228	0.0769230769230769	"(0.0667,0.133]"	-1	0	NA	0.05	7251	72
"232770"	"chrX:153008441-153008525_+"	1	1	0.83908	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.21851	0	0	0	0	0	0	0	0	0	0	0	0	1	1	15	0.989272	2.54790066666667	"(0,5]"	97.3769671080067	0.00172634976	0.0666666666666667	NA	-1	0	NA	0.05	7251	73
"232771"	"chrX:153008441-153008525_+"	1	1	0.83908	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.21851	0	0	0	0	0	0	0	0	0	0	0	0	1	1	15	0.989272	2.54790066666667	"(0,5]"	97.3769671080067	0.00172634976	0.0666666666666667	NA	-1	0	NA	0.05	7251	74
"39684"	"chr13:37614542-37614595_-"	1	0.97621	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.03506	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	15	0.998414	0.535670666666667	"(0,5]"	4.30414594690667	3.77309399999999e-05	0.0666666666666667	NA	-1	3.87691440749737e-103	NA	0.05	7251	75
"179175"	"chr4:77932888-77933074_+"	1	1	1	1	1	1	1	1	1	1	0.99878	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.2906	0	0	0	0	1	1	15	0.999918666666667	0.28604	"(0,5]"	1.227283224	9.92266666666665e-08	0.0666666666666667	NA	-1	3.87691440749737e-103	NA	0.05	7251	76
"42570"	"chr14:105958916-105959071_+"	0.95789	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.97376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	15	0.997192666666667	0.464917333333333	"(0,5]"	3.24222190250667	0.000118216806666667	0.0666666666666667	NA	-1	3.508982358555e-101	NA	0.05	7251	77
"120467"	"chr1:3421772-3421906_-"	1	1	NA	1	1	NA	NA	1	1	1	1	0.93789	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.81762	0	0	0	1	1	12	0.994824166666667	0.568135	"(0,5]"	3.8733285387	0.000321471008333333	0.0833333333333333	"(0.0667,0.133]"	-1	4.25061421071047e-78	NA	0.05	7251	78
"135698"	"chr22:20379803-20379875_+"	1	1	0.55862	1	1	NA	1	1	1	NA	1	NA	NA	1	NA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.29038	0	0	0	0	0	0	0	0	0	0	0	0	1	1	10	0.955862	3.229038	"(0,5]"	104.26686405444	0.01948163044	0.1	"(0.0667,0.133]"	-1	6.64689742203201e-64	NA	0.05	7251	79
"187219"	"chr5:49962919-49963020_+"	1	NA	NA	NA	1	NA	0.90201	1	1	1	1	NA	NA	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.96273	0	0	0	0	0	0	0	0	1	1	9	0.989112222222222	0.884747777777778	"(0,5]"	7.04500767254444	0.00106689334444444	0.111111111111111	"(0.0667,0.133]"	-1	4.74758610862443e-56	NA	0.05	7251	80
"187220"	"chr5:49962919-49963020_+"	1	NA	NA	NA	1	NA	0.90201	1	1	1	1	NA	NA	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.96273	0	0	0	0	0	0	0	0	1	1	9	0.989112222222222	0.884747777777778	"(0,5]"	7.04500767254444	0.00106689334444444	0.111111111111111	"(0.0667,0.133]"	-1	4.74758610862443e-56	NA	0.05	7251	81
"93378"	"chr19:35989500-35989665_-"	0.99508	1	NA	1	NA	1	1	NA	NA	NA	NA	NA	1	1	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.06114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	7	0.999297142857143	1.29444857142857	"(0,5]"	11.7291797285143	3.45805714285719e-06	0.142857142857143	"(0.133,0.2]"	-1	2.49447648679958e-40	NA	0.05	7251	82
"93379"	"chr19:35989500-35989665_-"	0.99508	1	NA	1	NA	1	1	NA	NA	NA	NA	NA	1	1	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.06114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	7	0.999297142857143	1.29444857142857	"(0,5]"	11.7291797285143	3.45805714285719e-06	0.142857142857143	"(0.133,0.2]"	-1	2.49447648679958e-40	NA	0.05	7251	83
"81528"	"chr17:73739794-73739942_+"	NA	NA	NA	1	1	1	NA	NA	1	NA	NA	1	NA	0.98838	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.24084	0	1	1	6	0.998063333333333	0.873473333333333	"(0,5]"	4.57773398426667	2.25040666666665e-05	0.166666666666667	"(0.133,0.2]"	-1	7.39557098644698e-32	NA	0.05	7251	84
"95806"	"chr19:425097-425231_-"	1	0.91724	NA	NA	1	NA	NA	NA	NA	NA	1	1	NA	1	NA	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5.06875	12.10889	0	0	0	0	0	0	0	0	0	0	0	0	2	1	6	0.986206666666667	0.844791666666667	"(0,5]"	4.28203776041667	0.00114153626666667	0.166666666666667	"(0.133,0.2]"	-1	7.39557098644698e-32	NA	0.05	7251	85
"3211"	"chr10:135165511-135165644_+"	0.42373	1	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.78383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	0.8559325	3.9459575	"(0,5]"	62.282322367225	0.083021778225	0.25	"(0.2,0.267]"	-1	2.22044604925031e-16	NA	0.05	7251	86
"50836"	"chr15:41101606-41101656_+"	0.67672	1	1	1	1	1	1	1	1	1	1	1	1	0.9183	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9.93575	0	0	0	0	0	0	0	0	0	0	0	0	4.58342	0	2	2	15	0.973001333333333	0.967944666666667	"(0,5]"	7.54807955664095	0.00716078059809524	0.133333333333333	"(0.0667,0.133]"	-0.981467572132037	1.03663627911366e-10	NA	0.05	7251	87
"50837"	"chr15:41101606-41101656_+"	0.67672	1	1	1	1	1	1	1	1	1	1	1	1	0.9183	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9.93575	0	0	0	0	0	0	0	0	0	0	0	0	4.58342	0	2	2	15	0.973001333333333	0.967944666666667	"(0,5]"	7.54807955664095	0.00716078059809524	0.133333333333333	"(0.0667,0.133]"	-0.981467572132037	1.03663627911366e-10	NA	0.05	7251	88
"137025"	"chr22:29921827-29921935_-"	1	1	1	1	1	1	1	1	1	1	0.98164	0.92829	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.71196	0	0	0	1	1	15	0.993995333333333	1.51413066666667	"(0,5]"	34.3888751361067	0.000352755240952382	0.0666666666666667	NA	-0.967790777688468	3.64449383400635e-09	NA	0.05	7251	89
"5104"	"chr10:49272346-49272561_-"	NA	NA	NA	NA	1	0.28185	NA	NA	1	NA	NA	NA	NA	NA	NA	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	30.94495	0	0	52.19177	0	0	0	0	0	0	0	0	0	2	1	3	0.760616666666667	17.3972566666667	"(15,20]"	907.993618577633	0.171913140833333	0.333333333333333	"(0.267,0.333]"	-1	9.48637384723993e-09	NA	0.05	7251	90
"90070"	"chr19:1456305-1456403_+"	0.71053	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	7.62404	5.81064	0	0	0	0	0	0	0	0	5.10327	7.5438	0	7.28485	0	5	1	3	0.90351	2.54134666666667	"(0,5]"	19.3753286405333	0.0279309603	0.333333333333333	"(0.267,0.333]"	-1	9.48637384723993e-09	NA	0.05	7251	91
"90071"	"chr19:1456305-1456403_+"	0.71053	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	7.62404	5.81064	0	0	0	0	0	0	0	0	5.10327	7.5438	0	7.28485	0	5	1	3	0.90351	2.54134666666667	"(0,5]"	19.3753286405333	0.0279309603	0.333333333333333	"(0.267,0.333]"	-1	9.48637384723993e-09	NA	0.05	7251	92
"214405"	"chr8:144651611-144651784_-"	0.4	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	4.94917	0	10.76346	0	0	0	0	0	6.88334	0	0	9.51154	0	0	0	4	1	3	0.8	1.64972333333333	"(0,5]"	8.16476122963333	0.12	0.333333333333333	"(0.267,0.333]"	-1	9.48637384723993e-09	NA	0.05	7251	93
"214406"	"chr8:144651611-144651784_-"	0.4	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	4.94917	0	10.76346	0	0	0	0	0	6.88334	0	0	9.51154	0	0	0	4	1	3	0.8	1.64972333333333	"(0,5]"	8.16476122963333	0.12	0.333333333333333	"(0.267,0.333]"	-1	9.48637384723993e-09	NA	0.05	7251	94
"234558"	"chrX:2729377-2729493_+"	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.92462	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.9673	0	1	1	3	0.974873333333333	11.6557666666667	"(10,15]"	407.570689763333	0.00189404813333333	0.333333333333333	"(0.267,0.333]"	-1	9.48637384723993e-09	NA	0.05	7251	95
"90465"	"chr19:15350203-15350333_-"	0.7265	1	NA	1	1	1	NA	0.95577	1	1	1	1	NA	NA	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.43107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	10	0.968227	0.743107	"(0,5]"	5.52208013449	0.00740703417888889	0.1	"(0.0667,0.133]"	-0.986871207575083	1.27943596643308e-07	NA	0.05	7251	96
"90466"	"chr19:15350203-15350333_-"	0.7265	1	NA	1	1	1	NA	0.95577	1	1	1	1	NA	NA	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.43107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	10	0.968227	0.743107	"(0,5]"	5.52208013449	0.00740703417888889	0.1	"(0.0667,0.133]"	-0.986871207575083	1.27943596643308e-07	NA	0.05	7251	97
"90467"	"chr19:15350203-15350333_-"	0.7265	1	NA	1	1	1	NA	0.95577	1	1	1	1	NA	NA	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.43107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	10	0.968227	0.743107	"(0,5]"	5.52208013449	0.00740703417888889	0.1	"(0.0667,0.133]"	-0.986871207575083	1.27943596643308e-07	NA	0.05	7251	98
"90468"	"chr19:15350470-15350632_-"	0.68627	1	NA	1	1	1	NA	0.94462	1	1	1	1	NA	NA	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.43107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	10	0.963089	0.743107	"(0,5]"	5.52208013449	0.00976324867666666	0.1	"(0.0667,0.133]"	-0.984365106112252	2.56558375510247e-07	NA	0.05	7251	99
"90469"	"chr19:15350470-15350632_-"	0.68627	1	NA	1	1	1	NA	0.94462	1	1	1	1	NA	NA	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.43107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	10	0.963089	0.743107	"(0,5]"	5.52208013449	0.00976324867666666	0.1	"(0.0667,0.133]"	-0.984365106112252	2.56558375510247e-07	NA	0.05	7251	100
"90470"	"chr19:15350470-15350632_-"	0.68627	1	NA	1	1	1	NA	0.94462	1	1	1	1	NA	NA	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.43107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	10	0.963089	0.743107	"(0,5]"	5.52208013449	0.00976324867666666	0.1	"(0.0667,0.133]"	-0.984365106112252	2.56558375510247e-07	NA	0.05	7251	101
"90471"	"chr19:15350470-15350632_-"	0.68627	1	NA	1	1	1	NA	0.94462	1	1	1	1	NA	NA	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.43107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	10	0.963089	0.743107	"(0,5]"	5.52208013449	0.00976324867666666	0.1	"(0.0667,0.133]"	-0.984365106112252	2.56558375510247e-07	NA	0.05	7251	102
"67356"	"chr16:732953-733087_-"	0.94627	1	0.94371	0.93359	0.96852	0.9209	0.96577	0.93324	0.94479	0.93887	0.95808	0.92256	0.75469	0.94792	0.96026	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.77096	0	0	1	1	15	0.935944666666667	0.451397333333333	"(0,5]"	3.05639328810667	0.00291455151238095	0.0666666666666667	NA	-0.928797254601909	5.75157940740039e-07	NA	0.05	7251	103
"73065"	"chr17:36288631-36288740_+"	1	1	0.69444	1	1	1	1	1	1	1	1	1	1	0.86711	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.38173	0	0	0	0	0	0	0	0	0	0	0	0	1	1	15	0.97077	0.358782	"(0,5]"	1.93086785286	0.00701505515714286	0.0666666666666667	NA	-0.912704277322925	2.07881158445255e-06	NA	0.05	7251	104
"99979"	"chr19:55607630-55607703_-"	0.91304	0.95604	0.94634	1	1	1	1	1	1	1	1	1	1	1	0.96237	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16.98964	10.94172	6.72716	0	0	0	0	0	0	0	0	0	0	0	0	3	3	15	0.985186	2.310568	"(0,5]"	26.6816370224457	0.000749865482857144	0.2	"(0.133,0.2]"	-0.911976029471944	2.19021204838586e-06	0.00118821630475564	0.05	7251	105
"99980"	"chr19:55607630-55607703_-"	0.91304	0.95604	0.94634	1	1	1	1	1	1	1	1	1	1	1	0.96237	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16.98964	10.94172	6.72716	0	0	0	0	0	0	0	0	0	0	0	0	3	3	15	0.985186	2.310568	"(0,5]"	26.6816370224457	0.000749865482857144	0.2	"(0.133,0.2]"	-0.911976029471944	2.19021204838586e-06	0.00118821630475564	0.05	7251	106
"99981"	"chr19:55607630-55607703_-"	0.91304	0.95604	0.94634	1	1	1	1	1	1	1	1	1	1	1	0.96237	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16.98964	10.94172	6.72716	0	0	0	0	0	0	0	0	0	0	0	0	3	3	15	0.985186	2.310568	"(0,5]"	26.6816370224457	0.000749865482857144	0.2	"(0.133,0.2]"	-0.911976029471944	2.19021204838586e-06	0.00118821630475564	0.05	7251	107
"99982"	"chr19:55607630-55607703_-"	0.91304	0.95604	0.94634	1	1	1	1	1	1	1	1	1	1	1	0.96237	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16.98964	10.94172	6.72716	0	0	0	0	0	0	0	0	0	0	0	0	3	3	15	0.985186	2.310568	"(0,5]"	26.6816370224457	0.000749865482857144	0.2	"(0.133,0.2]"	-0.911976029471944	2.19021204838586e-06	0.00118821630475564	0.05	7251	108
"99983"	"chr19:55607630-55607703_-"	0.91304	0.95604	0.94634	1	1	1	1	1	1	1	1	1	1	1	0.96237	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16.98964	10.94172	6.72716	0	0	0	0	0	0	0	0	0	0	0	0	3	3	15	0.985186	2.310568	"(0,5]"	26.6816370224457	0.000749865482857144	0.2	"(0.133,0.2]"	-0.911976029471944	2.19021204838586e-06	0.00118821630475564	0.05	7251	109
"18196"	"chr11:64627396-64627808_-"	1	1	1	1	0.95335	1	0.88699	1	1	1	1	0.97288	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.98556	0	0	0	0	0	0	0	0	1	1	15	0.987548	0.465704	"(0,5]"	3.25320323424	0.000954085174285715	0.0666666666666667	NA	-0.90061805105852	4.68672534695112e-06	NA	0.05	7251	110
"102172"	"chr19:871926-872118_-"	1	1	1	1	0.95062	1	1	0.97576	0.88498	1	0.97125	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.68748	0	0	0	0	0	0	1	1	15	0.985507333333333	0.312498666666667	"(0,5]"	1.46483125002667	0.000995111720952381	0.0666666666666667	NA	-0.881588335536399	1.39588950331086e-05	NA	0.05	7251	111
"102173"	"chr19:871926-872118_-"	1	1	1	1	0.95062	1	1	0.97576	0.88498	1	0.97125	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.68748	0	0	0	0	0	0	1	1	15	0.985507333333333	0.312498666666667	"(0,5]"	1.46483125002667	0.000995111720952381	0.0666666666666667	NA	-0.881588335536399	1.39588950331086e-05	NA	0.05	7251	112
"48586"	"chr14:93684873-93685081_+"	1	1	1	1	1	1	0.98664	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	33.37152	29.91197	18.47228	23.84304	30.20857	40.05788	87.06461	28.10502	36.49539	24.38201	38.76156	35.72724	16.38307	31.45469	11.45141	15	15	15	0.999109333333333	32.3793506666667	"(30,35]"	298.094433117935	1.18993066666667e-05	1	"(0.933,1]"	-0.876215511194114	1.83770814585825e-05	NA	0.05	7251	113
"48587"	"chr14:93684873-93685081_+"	1	1	1	1	1	1	0.98664	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	33.37152	29.91197	18.47228	23.84304	30.20857	40.05788	87.06461	28.10502	36.49539	24.38201	38.76156	35.72724	16.38307	31.45469	11.45141	15	15	15	0.999109333333333	32.3793506666667	"(30,35]"	298.094433117935	1.18993066666667e-05	1	"(0.933,1]"	-0.876215511194114	1.83770814585825e-05	NA	0.05	7251	114
"181174"	"chr5:122893189-122893258_+"	0.84685	1	1	1	1	0.97458	1	0.94643	0.93381	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.62383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	15	0.980111333333333	0.441588666666667	"(0,5]"	2.92500825792667	0.00181561242666667	0.0666666666666667	NA	-0.865187377649607	3.11290101220573e-05	NA	0.05	7251	115
"193321"	"chr6:167344532-167344606_-"	1	0.98848	0.98709	1	1	1	0.99273	1	0.98746	1	1	1	1	1	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	12.47621	6.40254	0	0	0	8.34756	0	4.35266	0	0	0	0	0	0	4	4	15	0.997050666666667	2.10526466666667	"(0,5]"	15.6281179781552	2.70717495238095e-05	0.266666666666667	"(0.2,0.267]"	-0.863004307564015	3.43655930727331e-05	0.000315238622469467	0.05	7251	116
"80963"	"chr17:7318830-7319426_+"	1	0.75806	1	1	1	1	NA	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	21.80945	9.41803	0	0	6.85461	17.34863	0	0	0	0	0	0	0	0	4	3	14	0.982718571428571	2.72014928571429	"(0,5]"	39.0575466710379	0.00418106882857143	0.214285714285714	"(0.2,0.267]"	-0.879140332648103	3.45111685738695e-05	0.0817227522986593	0.05	7251	117
"91075"	"chr19:17531347-17531443_+"	1	1	1	1	1	1	0.90517	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	0	12.54498	7.47799	0	0	7.31274	6.44351	45.68205	0	12.29376	7.53253	8.3711	21.06908	9.70849	11.65577	0	11	11	15	0.993678	10.0061333333333	"(10,15]"	131.804979697995	0.00059951526	0.733333333333333	"(0.667,0.733]"	-0.859660209627971	3.98604694408666e-05	0.651076634077834	0.05	7251	118
"113825"	"chr1:201465320-201465432_-"	1	0.89324	0.93873	0.99146	1	1	1	0.99225	0.99607	0.99711	0.99795	0.9936	1	1	0.99657	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.81462	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	15	0.986465333333333	0.520974666666667	"(0,5]"	4.07121904962667	0.000901258640952381	0.0666666666666667	NA	-0.859066567711943	4.09079449709453e-05	NA	0.05	7251	119
"90403"	"chr19:15289634-15289752_-"	1	NA	NA	1	1	1	NA	0.96281	1	1	1	NA	NA	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	111.67089	0	0	0	0	68.98415	25.14355	0	0	0	0	0	0	3	2	10	0.996281	9.41277	"(5,10]"	500.556518566222	0.00013830961	0.2	"(0.133,0.2]"	-0.935553420006673	6.97892598043408e-05	NA	0.05	7251	120
"34703"	"chr12:6439764-6439877_-"	0.95037	1	1	0.99246	0.99345	0.99753	1	0.99009	1	0.99674	0.99546	0.97139	1	0.99285	0.9964	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.22953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	15	0.991782666666667	0.415302	"(0,5]"	2.58713626806	0.000183441806666666	0.0666666666666667	NA	-0.84586612163692	7.08021005197355e-05	NA	0.05	7251	121
"34704"	"chr12:6439764-6439877_-"	0.95037	1	1	0.99246	0.99345	0.99753	1	0.99009	1	0.99674	0.99546	0.97139	1	0.99285	0.9964	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.22953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	15	0.991782666666667	0.415302	"(0,5]"	2.58713626806	0.000183441806666666	0.0666666666666667	NA	-0.84586612163692	7.08021005197355e-05	NA	0.05	7251	122
"34705"	"chr12:6439764-6439877_-"	0.95037	1	1	0.99246	0.99345	0.99753	1	0.99009	1	0.99674	0.99546	0.97139	1	0.99285	0.9964	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.22953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	15	0.991782666666667	0.415302	"(0,5]"	2.58713626806	0.000183441806666666	0.0666666666666667	NA	-0.84586612163692	7.08021005197355e-05	NA	0.05	7251	123
