size	dataType	view	cell	lab	geoSampleAccession	dccAccession	dataVersion	softwareVersion	type	md5sum	geoSampleAccesion	dateSubmitted	controlId	grant	dateResubmitted	origAssembly	treatment	replicate	antibody	control	setType	tableName	protocol	labExpId	localization	rnaExtract	strand	labVersion	labProtocolId	bioRep	project	composite	readType	dateUnrestricted	seqPlatform	spikeInPool	objStatus	subId	filename
1.4M	ChipSeq	Peaks	A549	HudsonAlpha	GSM803358	wgEncodeEH001491	ENCODE June 2010 Freeze	SPP	bigBed	7ca1f85279deb7679040604665a7c46b	NA	2009-12-09	SL878	Myers	2010-06-07	NA	DEX_50nM	NA	GR	NA	exp	NA	PCR1x	SL882	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsA549GrPcr1xDexbAlnRep0_VS_wgEncodeHaibTfbsA549GrPcr1xEtoh02AlnRep0.bb
842K	ChipSeq	Peaks	A549	HudsonAlpha	GSM803359	wgEncodeEH001492	ENCODE June 2010 Freeze	SPP	bigBed	6dad3d922353d9bdad74603d18b5cb7b	NA	2009-12-09	SL878	Myers	2010-06-07	NA	DEX_5nM	NA	GR	NA	exp	NA	PCR1x	SL880	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsA549GrPcr1xDexcAlnRep0_VS_wgEncodeHaibTfbsA549GrPcr1xEtoh02AlnRep0.bb
402K	ChipSeq	Peaks	A549	HudsonAlpha	GSM803357	wgEncodeEH001490	ENCODE June 2010 Freeze	SPP	bigBed	68a08acc21ba30ef5d00f844a91b3a76	NA	2009-12-09	SL878	Myers	2010-06-07	NA	DEX_500pM	NA	GR	NA	exp	NA	PCR1x	SL884	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsA549GrPcr1xDexdAlnRep0_VS_wgEncodeHaibTfbsA549GrPcr1xEtoh02AlnRep0.bb
994K	ChipSeq	Peaks	A549	HudsonAlpha	GSM803371	wgEncodeEH001555	ENCODE June 2010 Freeze	SPP	bigBed	db203ccc4505334a6382794912b31040	NA	2010-06-22	SL247	Myers	NA	NA	DEX_100nM	NA	GR	NA	exp	NA	PCR2x	SL246	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsA549GrPcr2xDexaAlnRep0_VS_wgEncodeHaibTfbsA549GrPcr2xEtoh02AlnRep0.bb
1.7M	ChipSeq	Peaks	A549	HudsonAlpha	GSM803361	wgEncodeEH001494	ENCODE June 2010 Freeze	SPP	bigBed	b5f54305b0699bec07ce5ce5d8e657f7	NA	2009-12-17	SL335	Myers	2010-06-22	NA	DEX_100nM	NA	Pol2	NA	exp	NA	PCR2x	SL244	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsA549Pol2Pcr2xDexaAlnRep0_VS_wgEncodeHaibTfbsA549ControlPcr2xDexaAlnRep0.bb
1.9M	ChipSeq	Peaks	A549	HudsonAlpha	GSM803360	wgEncodeEH001493	ENCODE June 2010 Freeze	SPP	bigBed	71b76f599b384e32a4dfa4e8e31521ed	NA	2009-12-15	SL307	Myers	2010-06-22	NA	EtOH_0.02pct	NA	Pol2	NA	exp	NA	PCR2x	SL245	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsA549Pol2Pcr2xEtoh02AlnRep0_VS_wgEncodeHaibTfbsA549ControlPcr2xEtoh02AlnRep2.bb
802K	ChipSeq	Peaks	A549	HudsonAlpha	GSM803457	wgEncodeEH001509	ENCODE June 2010 Freeze	SPP	bigBed	dc017decbdb36e2a91a1a3e798397391	NA	2010-01-08	SL474	Myers	2010-06-18	NA	DEX_100nM	NA	USF-1	NA	exp	NA	PCR1x	SL1206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsA549Usf1Pcr1xDexaAlnRep0_VS_wgEncodeHaibTfbsA549ControlPcr1xDexaAlnRep0.bb
738K	ChipSeq	Peaks	A549	HudsonAlpha	GSM803429	wgEncodeEH001539	ENCODE June 2010 Freeze	SPP	bigBed	7e9f3e0d56fdd28791cfba7434588955	NA	2010-01-07	SL475	Myers	2010-06-18	NA	EtOH_0.02pct	NA	USF-1	NA	exp	NA	PCR1x	SL1207	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsA549Usf1Pcr1xEtoh02AlnRep0_VS_wgEncodeHaibTfbsA549ControlPcr1xEtoh02AlnRep1.bb
1.1M	ChipSeq	Peaks	ECC-1	HudsonAlpha	GSM803422	wgEncodeEH001536	ENCODE June 2010 Freeze	SPP	bigBed	f7305ff4fc781a4c1f46579d6619ccbc	NA	2010-05-27	SL1034	Myers	NA	NA	Estradiol_10nM	NA	ERalpha_a	NA	exp	NA	v041610.2	SL1011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsEcc1EralphaaV0416102Estradia1hAlnRep0_VS_wgEncodeHaibTfbsEcc1EralphaaV0416102Dmso2AlnRep0.bb
874K	ChipSeq	Peaks	ECC-1	HudsonAlpha	GSM803541	wgEncodeEH001575	ENCODE Jan 2011 Freeze	SPP	bigBed	ef55dd9b36ba772dd7a02f7e422b116f	NA	2010-09-28	SL1034	Myers	NA	NA	Genistein_100nM	NA	ERalpha_a	NA	exp	NA	v041610.2	SL1049	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsEcc1EralphaaV0416102Gen1hAlnRep0_VS_wgEncodeHaibTfbsEcc1EralphaaV0416102Dmso2AlnRep0.bb
618K	ChipSeq	Peaks	ECC-1	HudsonAlpha	GSM803444	wgEncodeEH001586	ENCODE Jan 2011 Freeze	SPP	bigBed	8e3384814b16f46242774d38a17bb14f	NA	2010-11-15	SL1882	Myers	NA	NA	DMSO_0.02pct	NA	FOXA1_(C-20)	NA	exp	NA	v041610.2	SL1880	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsEcc1Foxa1c20V0416102Dmso2AlnRep0_VS_wgEncodeHaibTfbsEcc1ControlV0416102Dmso2AlnRep0.bb
714K	ChipSeq	Peaks	ECC-1	HudsonAlpha	GSM803340	wgEncodeEH001540	ENCODE June 2010 Freeze	SPP	bigBed	6e64ad292b6fb5362284927ca8ced03a	NA	2010-06-07	SL1035	Myers	NA	NA	DEX_100nM	NA	GR	NA	exp	NA	v041610.2	SL1012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsEcc1GrV0416102DexaAlnRep0_VS_wgEncodeHaibTfbsEcc1GrV0416102Etoh02AlnRep0.bb
1.6M	ChipSeq	Peaks	ECC-1	HudsonAlpha	GSM803536	wgEncodeEH001572	ENCODE Jan 2011 Freeze	SPP	bigBed	442c583a392bdd343569014fba68a927	NA	2010-09-27	SL1882	Myers	NA	NA	DMSO_0.02pct	NA	Pol2	NA	exp	NA	v041610.2	SL1176	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsEcc1Pol2V0416102Dmso2AlnRep0_VS_wgEncodeHaibTfbsEcc1ControlV0416102Dmso2AlnRep0.bb
338K	ChipSeq	Peaks	GM12878	HudsonAlpha	GSM803508	wgEncodeEH001562	ENCODE Jan 2011 Freeze	SPP	bigBed	880f5bcec14175b5fcf1b34de4610e27	NA	2010-09-15	SL1613	Myers	NA	NA	None	NA	ATF3	NA	exp	NA	PCR1x	SL1269	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsGm12878Atf3Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.bb
1.2M	ChipSeq	Peaks	GM12878	HudsonAlpha	GSM803538	wgEncodeEH001479	ENCODE June 2010 Freeze	SPP	bigBed	696dab663b8ffed543b0e45cec4b4a1d	NA	2009-10-26	SL516	Myers	2010-06-07	NA	None	NA	BATF	NA	exp	NA	PCR1x	SL839	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsGm12878BatfPcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.bb
954K	ChipSeq	Peaks	GM12878	HudsonAlpha	GSM803388	wgEncodeEH001486	ENCODE June 2010 Freeze	SPP	bigBed	729bdd9de341cd5957e46e6622be0ea0	NA	2009-11-25	SL516	Myers	2010-06-07	NA	None	NA	BCL11A	NA	exp	NA	PCR1x	SL650	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsGm12878Bcl11aPcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.bb
666K	ChipSeq	Peaks	GM12878	HudsonAlpha	GSM803342	wgEncodeEH001658	ENCODE June 2010 Freeze	SPP	bigBed	09a219ed6c3dd503fbc3f816dc43e33f	NA	2009-12-10	SL516	Myers	2010-06-07	NA	None	NA	BCL3	NA	exp	NA	PCR1x	SL652	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsGm12878Bcl3Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.bb
426K	ChipSeq	Peaks	GM12878	HudsonAlpha	GSM803509	wgEncodeEH001563	ENCODE Jan 2011 Freeze	SPP	bigBed	937e848d6403178d46bec37ae93cbb44	NA	2010-09-15	SL1395	Myers	NA	NA	None	NA	BCLAF1_(M33-P5B11)	NA	exp	NA	v041610.1	SL1509	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsGm12878Bclaf1m33V0416101AlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.bb
1.8M	ChipSeq	Peaks	GM12878	HudsonAlpha	GSM803386	wgEncodeEH001480	ENCODE Jan 2011 Freeze	SPP	bigBed	914d3cad87ee4f0327d86d1436d1cd44	NA	2010-12-14	SL516	Myers	NA	NA	None	NA	EBF1_(C-8)	NA	exp	NA	PCR1x	SL745	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsGm12878Ebf1c8Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.bb
1.8M	ChipSeq	Peaks	GM12878	HudsonAlpha	GSM803386	wgEncodeEH001480	ENCODE June 2010 Freeze	SPP	bigBed	cb9a128c2469f020673ae4a431e09747	NA	2009-10-26	SL516	Myers	2010-06-07	NA	None	NA	EBF	NA	exp	NA	PCR1x	SL745	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsGm12878EbfPcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.bb
338K	ChipSeq	Peaks	GM12878	HudsonAlpha	GSM1010730	wgEncodeEH002328	ENCODE June 2010 Freeze	SPP	bigBed	032983391b86156f3f8d8b4afb141110	NA	2009-07-01	SL217	Myers	2010-06-21	NA	None	NA	Egr-1	NA	exp	NA	PCR2x	SL447	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsGm12878Egr1Pcr2xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr2xAlnRep0.bb
834K	ChipSeq	Peaks	GM12878	HudsonAlpha	GSM803434	wgEncodeEH001632	ENCODE Jan 2011 Freeze	SPP	bigBed	94a2d2d4d2281258808dfce7f2a73341	NA	2011-01-06	SL1613	Myers	NA	NA	None	NA	Egr-1	NA	exp	NA	v041610.1	SL3579	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsGm12878Egr1V0416101AlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.bb
1.2M	ChipSeq	Peaks	GM12878	HudsonAlpha	GSM803496	wgEncodeEH001617	ENCODE Jan 2011 Freeze	SPP	bigBed	5a3859996f1221eda28312621528095c	NA	2010-12-22	SL1613	Myers	NA	NA	None	NA	ELF1_(SC-631)	NA	exp	NA	v041610.1	SL2253	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsGm12878Elf1sc631V0416101AlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.bb
450K	ChipSeq	Peaks	GM12878	HudsonAlpha	GSM803510	wgEncodeEH001564	ENCODE Jan 2011 Freeze	SPP	bigBed	cec70660e08b42987b20d49f24ab95bf	NA	2010-09-15	SL1613	Myers	NA	NA	None	NA	ETS1	NA	exp	NA	PCR1x	SL1507	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsGm12878Ets1Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.bb
634K	ChipSeq	Peaks	GM12878	HudsonAlpha	GSM803356	wgEncodeEH001462	ENCODE June 2010 Freeze	SPP	bigBed	c66f9d62a68cdda24e1f0d4183cf5319	NA	2008-11-20	SL217	Myers	2010-06-21	NA	None	NA	GABP	NA	exp	NA	PCR2x	SL203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsGm12878GabpPcr2xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr2xAlnRep0.bb
834K	ChipSeq	Peaks	GM12878	HudsonAlpha	GSM803390	wgEncodeEH001484	ENCODE Jan 2011 Freeze	SPP	bigBed	f92d2d163c1940fedd9fe1e26a3a6468	NA	2010-12-14	SL516	Myers	NA	NA	None	NA	IRF4_(M-17)	NA	exp	NA	PCR1x	SL838	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsGm12878Irf4m17Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.bb
834K	ChipSeq	Peaks	GM12878	HudsonAlpha	GSM803390	wgEncodeEH001484	ENCODE June 2010 Freeze	SPP	bigBed	f92d2d163c1940fedd9fe1e26a3a6468	NA	2009-10-27	SL516	Myers	2010-06-07	NA	None	NA	IRF4	NA	exp	NA	PCR1x	SL838	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsGm12878Irf4Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.bb
922K	ChipSeq	Peaks	GM12878	HudsonAlpha	GSM803511	wgEncodeEH001565	ENCODE Jan 2011 Freeze	SPP	bigBed	b695a73513fe0b03b78e6f538ce15170	NA	2010-09-15	SL1613	Myers	NA	NA	None	NA	MEF2A	NA	exp	NA	PCR1x	SL1425	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsGm12878Mef2aPcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.bb
610K	ChipSeq	Peaks	GM12878	HudsonAlpha	GSM803420	wgEncodeEH001648	ENCODE Jan 2011 Freeze	SPP	bigBed	1f5f60d66b93a0e622421baa7eff1163	NA	2011-01-21	SL1613	Myers	NA	NA	None	NA	MEF2C_(SC-13268)	NA	exp	NA	v041610.1	SL1654	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsGm12878Mef2csc13268Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.bb
426K	ChipSeq	Peaks	GM12878	HudsonAlpha	GSM803349	wgEncodeEH001465	ENCODE Jan 2011 Freeze	SPP	bigBed	2fec69ace192c62733bf6f1cc73df297	NA	2008-11-25	SL217	Myers	2010-08-06	NA	None	NA	NRSF	NA	exp	NA	PCR2x	SL202	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsGm12878NrsfPcr2xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr2xAlnRep0.bb
1.2M	ChipSeq	Peaks	GM12878	HudsonAlpha	GSM803534	wgEncodeEH001475	ENCODE Jan 2011 Freeze	SPP	bigBed	e4796dd3f8ea87fc6104448fc73988a4	NA	2010-12-14	SL516	Myers	NA	NA	None	NA	Oct-2	NA	exp	NA	PCR1x	SL614	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsGm12878Oct2Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.bb
554K	ChipSeq	Peaks	GM12878	HudsonAlpha	GSM803387	wgEncodeEH001487	ENCODE June 2010 Freeze	SPP	bigBed	0687be12054803ec6509f34b19c8916e	NA	2009-11-25	SL516	Myers	2010-06-07	NA	None	NA	p300	NA	exp	NA	PCR1x	SL551	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsGm12878P300Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.bb
1.2M	ChipSeq	Peaks	GM12878	HudsonAlpha	GSM803391	wgEncodeEH001489	ENCODE June 2010 Freeze	SPP	bigBed	459bdd533f09c05b47adda8a1f1c931a	NA	2009-12-04	SL678	Myers	2010-06-07	NA	None	NA	PAX5-C20	NA	exp	NA	PCR1x	SL675	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsGm12878Pax5c20Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.bb
986K	ChipSeq	Peaks	GM12878	HudsonAlpha	GSM803362	wgEncodeEH001495	ENCODE June 2010 Freeze	SPP	bigBed	0029b5ec56e904592f7b2bd442c14eb1	NA	2009-12-17	SL678	Myers	2010-06-16	NA	None	NA	PAX5-N19	NA	exp	NA	PCR1x	SL677	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsGm12878Pax5n19Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.bb
762K	ChipSeq	Peaks	GM12878	HudsonAlpha	GSM803532	wgEncodeEH001477	ENCODE June 2010 Freeze	SPP	bigBed	30a3bd41b0563350fc307400880b818c	NA	2009-07-20	SL516	Myers	2010-06-07	NA	None	NA	Pbx3	NA	exp	NA	PCR1x	SL615	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsGm12878Pbx3Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.bb
1.3M	ChipSeq	Peaks	GM12878	HudsonAlpha	GSM803485	wgEncodeEH001517	ENCODE June 2010 Freeze	SPP	bigBed	dffc189bcb2b01ae71c436fdb8fb17bf	NA	2010-01-08	SL517	Myers	2010-06-07	NA	None	NA	Pol2-4H8	NA	exp	NA	PCR1x	SL748	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsGm12878Pol24h8Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.bb
2.1M	ChipSeq	Peaks	GM12878	HudsonAlpha	GSM803355	wgEncodeEH001463	ENCODE June 2010 Freeze	SPP	bigBed	26e283c227fc4e7ae8c492a4657e884f	NA	2008-11-20	SL217	Myers	2010-06-21	NA	None	NA	Pol2	NA	exp	NA	PCR2x	SL207	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsGm12878Pol2Pcr2xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr2xAlnRep0.bb
1.2M	ChipSeq	Peaks	GM12878	HudsonAlpha	GSM803534	wgEncodeEH001475	ENCODE June 2010 Freeze	SPP	bigBed	5a9e2c8b6480808a79fe0207669bc7ff	NA	2009-07-20	SL516	Myers	2010-06-07	NA	None	NA	POU2F2	NA	exp	NA	PCR1x	SL614	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsGm12878Pou2f2Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.bb
2.0M	ChipSeq	Peaks	GM12878	HudsonAlpha	GSM803531	wgEncodeEH001476	ENCODE June 2010 Freeze	SPP	bigBed	7f86de69165898137510b860ad0b3a70	NA	2009-07-20	SL516	Myers	2010-06-07	NA	None	NA	PU.1	NA	exp	NA	PCR1x	SL612	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsGm12878Pu1Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.bb
1.7M	ChipSeq	Peaks	GM12878	HudsonAlpha	GSM803416	wgEncodeEH001640	ENCODE Jan 2011 Freeze	SPP	bigBed	ade0e7cb48695f568bfea3f1ebf309b4	NA	2011-01-13	SL1613	Myers	NA	NA	None	NA	Rad21	NA	exp	NA	v041610.1	SL3933	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsGm12878Rad21V0416101AlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.bb
